# 1D ASCII output created by CarpetIOASCII
# created on ee by leo on Mar 09 2022 at 23:05:45-0800
# parameter filename: "ConstantDensitySphere.par"
#
# NRPYLEAKAGEET::NRPYLEAKAGEET_OPTICAL_DEPTHS x (nrpyleakageet-nrpyleakageet_optical_depths)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:tau_0_nue 14:tau_0_anue 15:tau_0_nux 16:tau_1_nue 17:tau_1_anue 18:tau_1_nux
0	0	0 0 0	80 336 336	0	-3.84 0 0	3.62460448474016e-06 4.06693935193778e-06 1.24412521335332e-06 5.93393432853419e-06 6.34247245927331e-06 2.00113712754541e-06
0	0	0 0 0	88 336 336	0	-3.72 0 0	4.07768004533268e-06 4.57530677093e-06 1.39964086502248e-06 6.67567611960096e-06 7.13528151668248e-06 2.25127926848859e-06
0	0	0 0 0	96 336 336	0	-3.6 0 0	4.5307556059252e-06 5.08367418992222e-06 1.55515651669164e-06 7.41741791066774e-06 7.92809057409164e-06 2.50142140943177e-06
0	0	0 0 0	104 336 336	0	-3.48 0 0	4.98383116651772e-06 5.59204160891445e-06 1.71067216836081e-06 8.15915970173451e-06 8.7208996315008e-06 2.75156355037494e-06
0	0	0 0 0	112 336 336	0	-3.36 0 0	5.43690672711024e-06 6.10040902790667e-06 1.86618782002997e-06 8.90090149280128e-06 9.51370868890997e-06 3.00170569131812e-06
0	0	0 0 0	120 336 336	0	-3.24 0 0	5.88998228770276e-06 6.60877644689889e-06 2.02170347169914e-06 9.64264328386806e-06 1.03065177463191e-05 3.2518478322613e-06
0	0	0 0 0	128 336 336	0	-3.12 0 0	6.34305784829528e-06 7.11714386589111e-06 2.1772191233683e-06 1.03843850749348e-05 1.10993268037283e-05 3.50198997320447e-06
0	0	0 0 0	136 336 336	0	-3 0 0	6.7961334088878e-06 7.62551128488333e-06 2.33273477503747e-06 1.11261268660016e-05 1.18921358611375e-05 3.75213211414765e-06
0	0	0 0 0	144 336 336	0	-2.88 0 0	7.24920896948032e-06 8.13387870387556e-06 2.48825042670663e-06 1.18678686570684e-05 1.26849449185466e-05 4.00227425509082e-06
0	0	0 0 0	152 336 336	0	-2.76 0 0	7.70228453007284e-06 8.64224612286778e-06 2.6437660783758e-06 1.26096104481352e-05 1.34777539759558e-05 4.252416396034e-06
